id,branch_name,branch_id,branch_code,email,mobile_number,gstin,agreement_limit,secondary_mobile_number,secondary_email,state,district,city,address_1,address_2,pin_code,latitude,longitude,range,created_by,created_at,updated_by,updated_at,deleted_at,deleted_by,error_reason,row_number
23,Nashik,20,BR020,branch@berar.com,9000000020,GSTIN020,1000000.0,,,Maharashtra,Nashik,Nashik,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,23
24,Pandharpur,21,BR021,branch@berar.com,9000000021,GSTIN021,1000000.0,,,Maharashtra,Pandharpur,Pandharpur,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,24
25,Paratwada,22,BR022,branch@berar.com,9000000022,GSTIN022,1000000.0,,,Maharashtra,Paratwada,Paratwada,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,25
26,Parbhani,23,BR023,branch@berar.com,9000000023,GSTIN023,1000000.0,,,Maharashtra,Parbhani,Parbhani,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,26
27,Pune,24,BR024,branch@berar.com,9000000024,GSTIN024,1000000.0,,,Maharashtra,Pune,Pune,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,27
28,Pusad,25,BR025,branch@berar.com,9000000025,GSTIN025,1000000.0,,,Maharashtra,Pusad,Pusad,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,28
29,Raipur,26,BR026,branch@berar.com,9000000026,GSTIN026,1000000.0,,,Maharashtra,Raipur,Raipur,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,29
30,Sangli,27,BR027,branch@berar.com,9000000027,GSTIN027,1000000.0,,,Maharashtra,Sangli,Sangli,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,30
31,Saraipali,28,BR028,branch@berar.com,9000000028,GSTIN028,1000000.0,,,Maharashtra,Saraipali,Saraipali,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,31
32,Seoni,29,BR029,branch@berar.com,9000000029,GSTIN029,1000000.0,,,Maharashtra,Seoni,Seoni,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,32
33,Solapur,30,BR030,branch@berar.com,9000000030,GSTIN030,1000000.0,,,Maharashtra,Solapur,Solapur,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,33
34,Udgir,31,BR031,branch@berar.com,9000000031,GSTIN031,1000000.0,,,Maharashtra,Udgir,Udgir,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,34
35,Washim,32,BR032,branch@berar.com,9000000032,GSTIN032,1000000.0,,,Maharashtra,Washim,Washim,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,35
36,Yavatmal,33,BR033,branch@berar.com,9000000033,GSTIN033,1000000.0,,,Maharashtra,Yavatmal,Yavatmal,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,36
37,Balaghat,34,BLG034,balaghat@example.com,1234567892,22BBBBB0000B2Z5,,,,Madhya Pradesh,Balaghat,Balaghat,"Main Road, Balaghat",,481001.0,21.8169,80.1842,1000.0,1,2025-09-26 19:20:51.429638+05:30,,,,,Emp Code Missing | Branch '' not found,37
38,Gondia,35,BR035,gondia@example.com,1234567893,22BBBBB0000B3Z5,,,,Maharashtra,Gondia,Gondia,"Station Road, Gondia",,441601.0,21.46,80.1983,1000.0,1,2025-09-26 19:21:31.22632+05:30,,,,,Emp Code Missing | Branch '' not found,38
39,Wardha,36,BR036,wardha@example.com,1234567894,22BBBBB0000B4Z5,,,,Maharashtra,Wardha,Wardha,"Gandhi Nagar, Wardha",,442001.0,20.738,78.597,1000.0,1,2025-09-26 19:21:31.22632+05:30,,,,,Emp Code Missing | Branch '' not found,39
40,Multai,37,BR037,multai@example.com,1234567895,22BBBBB0000B5Z5,,,,Madhya Pradesh,Betul,Multai,"Market Road, Multai",,460661.0,21.774,78.2576,1000.0,1,2025-09-26 19:21:31.22632+05:30,,,,,Emp Code Missing | Branch '' not found,40
41,Bhandara,38,BR038,bhandara@example.com,1234567896,22BBBBB0000B6Z5,,,,Maharashtra,Bhandara,Bhandara,"Civil Lines, Bhandara",,441904.0,21.1667,79.65,1000.0,1,2025-09-26 19:21:31.22632+05:30,,,,,Emp Code Missing | Branch '' not found,41
42,Katol,39,BR039,katol@example.com,1234567897,22BBBBB0000B7Z5,,,,Maharashtra,Nagpur,Katol,"Katol Road, Katol",,441302.0,21.2667,78.5833,1000.0,1,2025-09-26 19:21:31.22632+05:30,,,,,Emp Code Missing | Branch '' not found,42
43,Kolhapur,43,BR041,branch@berar.com,1234567890,GSTIN001,5000000.0,9876543210.0,backup@example.com,Maharashtra,Mumbai,Mumbai,Mumbai,Mumbai,,,,,1,2025-11-04 12:57:27.471258+05:30,,,,,Emp Code Missing | Branch '' not found,43
44,Kanker,44,BR042,branch@berar.com,1234567890,GSTIN001,5000000.0,9876543210.0,backup@example.com,Maharashtra,Mumbai,Mumbai,Mumbai,,,,,,1,2025-11-04 12:57:27.471258+05:30,,,,,Emp Code Missing | Branch '' not found,44
45,Mandla,45,BR043,branch@berar.com,1234567890,GSTIN001,5000000.0,9876543210.0,backup@example.com,Maharashtra,Mumbai,Mumbai,Mumbai,,,,,,1,2025-11-04 12:57:27.471258+05:30,,,,,Emp Code Missing | Branch '' not found,45
46,Rajahmundry,5000747,AP_RAJ_805,abc@berarfinance.com,9876543210,0,100.0,,,Andhra Pradesh,East Godavari,East Godavari,"PLOT NO 422, DOOR NO 45-22-34/1, 2ND FLOOR,","BRADI PETA, REVENUE WARD NO 26,",533103.0,0.0,0.0,60.0,1,2026-01-13 19:41:39.822769+05:30,,,,0.0,Emp Code Missing | Branch '' not found,46
47,Srikakulam,5000746,AP_SRI_804,abc@berarfinance.com,9876543210,0,100.0,,,Andhra Pradesh,Srikakulam,Srikakulam,"DOOR NO 7-3-17/1B, 2ND FLOOR, VENKATA KAMESWARI COMPLEX,","ONE WAY TRAFFIC ROAD, KONNA VEEDHI STREET, NEAR SARASWATI THEATRE",532001.0,0.0,0.0,60.0,1,2026-01-13 19:41:40.01316+05:30,,,,0.0,Emp Code Missing | Branch '' not found,47
48,Vijayawada,5000748,AP_VIJ_806,abc@berarfinance.com,9876543210,0,100.0,,,Andhra Pradesh,Krishna,Krishna,"HOUSE NO 27-33-40, 1ST FLOOR,","REVENUE WARD NO 21 A, BUCKINGHAMPETA,",520002.0,0.0,0.0,60.0,1,2026-01-13 19:41:40.203797+05:30,,,,0.0,Emp Code Missing | Branch '' not found,48
49,Visakhapatnam,5000825,AP_VIS_809,abc@berarfinance.com,9876543210,0,100.0,,,Andhra Pradesh,Visakhapatnam,Visakhapatnam,"D NO 46-15-27,1ST FLOOR,","DIAMOND PARK ROAD, DONDAPARTHY",530016.0,0.0,0.0,60.0,1,2026-01-13 19:41:40.394119+05:30,,,,0.0,Emp Code Missing | Branch '' not found,49
50,Vizianagaram,5000728,AP_VIZ_803,abc@berarfinance.com,9876543210,0,100.0,,,Andhra Pradesh,Vizianagaram,Vizianagaram,"SRI LAMBODARA SRINIVASA NILAYAM, GROUND FLOOR, DOOR NO 8-12-9/9,","SIDDARDHANAGAR, POSIT COMMERCIAL TAX OFFICE, NEAR RTC",535002.0,0.0,0.0,60.0,1,2026-01-13 19:41:40.601725+05:30,,,,0.0,Emp Code Missing | Branch '' not found,50
51,Ambikapur,5000406,CG_AMB_221,abc@berarfinance.com,9876543210,0,100.0,,,Chhattisgarh,Surguja,Surguja,"Ground floor, Aarshi complex, Near Akashwani square,",Ring road Chopra Para AMBIKAPUR Surguja,497001.0,0.0,0.0,60.0,1,2026-01-13 19:41:40.8226+05:30,,,,0.0,Emp Code Missing | Branch '' not found,51
52,Baikunthpur,5000625,CG_BAI_224,abc@berarfinance.com,9876543210,0,100.0,,,Chhattisgarh,KORIYA,KORIYA,"Plot no.677/1,","Ward no.1, Sanjay Nagar, Main road, Near Collector office,",497335.0,0.0,0.0,60.0,1,2026-01-13 19:41:41.011134+05:30,,,,0.0,Emp Code Missing | Branch '' not found,52
53,Baloda Bazar,5000107,CG_BAL_210,abc@berarfinance.com,9876543210,0,100.0,,,Chhattisgarh,Raipur,Raipur,"In front Of Radhavihar, Lawn Road","Near Kiran Honda,",493332.0,0.0,0.0,60.0,1,2026-01-13 19:41:41.206143+05:30,,,,0.0,Emp Code Missing | Branch '' not found,53
54,Balrampur,5000707,CG_BAL_226,abc@berarfinance.com,9876543210,0,100.0,,,Chhattisgarh,Surguja,Surguja,"SR NO 218/5, NEAR PNB BANK,","GRAM- DAHEJWAR, PO- BALRAMPUR,",497119.0,0.0,0.0,60.0,1,2026-01-13 19:41:41.392424+05:30,,,,0.0,Emp Code Missing | Branch '' not found,54
55,Raipur,5000145,CG_BRAI_201,abc@berarfinance.com,9876543210,0,100.0,,,Chhattisgarh,Raipur,Raipur,1,"C.G.Elite ,3Rd Floor ,Assembly Road",492001.0,0.0,0.0,60.0,1,2026-01-13 19:41:41.588747+05:30,,,,0.0,Emp Code Missing | Branch '' not found,55
56,Dallirajhara,5000096,CG_DAL_206,abc@berarfinance.com,9876543210,0,100.0,,,Chhattisgarh,Durg,Durg,"First Floor,Ward No.13","Main Road, Chikhalakasa,Dallirajhara",491228.0,0.0,0.0,60.0,1,2026-01-13 19:41:41.790867+05:30,,,,0.0,Emp Code Missing | Branch '' not found,56
57,Dongargarh,5000280,CG_DON_216,abc@berarfinance.com,9876543210,0,100.0,,,Chhattisgarh,Durg,Durg,"Ward No 09, Bhagatsingh ward, Ganesh wada","in front of High Schoool,",491335.0,0.0,0.0,60.0,1,2026-01-13 19:41:41.991931+05:30,,,,0.0,Emp Code Missing | Branch '' not found,57
58,Gariyaband,5000116,CG_GAR_212,abc@berarfinance.com,9876543210,0,100.0,,,Chhattisgarh,Raipur,Raipur,"Sharma Complex, Majarkatta Square","Near Shivnath Hyundai, Raipur Road,",493889.0,0.0,0.0,60.0,1,2026-01-13 19:41:42.206139+05:30,,,,0.0,Emp Code Missing | Branch '' not found,58
59,Jagdalpur,5000122,CG_JAG_215,abc@berarfinance.com,9876543210,0,100.0,,,Chhattisgarh,Bastar,Bastar,"Ashirwad Complex, 2nd Floor","Balaji Ward,",494001.0,0.0,0.0,60.0,1,2026-01-13 19:41:42.43931+05:30,,,,0.0,Emp Code Missing | Branch '' not found,59
60,Jashpur,5000706,CG_JAS_225,abc@berarfinance.com,9876543210,0,100.0,,,Chhattisgarh,JASHPUR,JASHPUR,"1ST FLOOR SHANTI COMPLEX, ABOVE CANERA BANK,",NEAR HONDA SHOWROOM,496331.0,0.0,0.0,60.0,1,2026-01-13 19:41:42.696877+05:30,,,,0.0,Emp Code Missing | Branch '' not found,60
61,Kawardha,5000093,CG_KAW_205,abc@berarfinance.com,9876543210,0,100.0,,,Chhattisgarh,Kawardha,Kawardha,"Swastik Bhavan, Above Dcb Bank","Raipur Road, Kawardha(CG)",491995.0,0.0,0.0,60.0,1,2026-01-13 19:41:42.893885+05:30,,,,0.0,Emp Code Missing | Branch '' not found,61
62,Kondagaon,5000324,CG_KON_219,abc@berarfinance.com,9876543210,0,100.0,,,Chhattisgarh,Bastar,Bastar,"Shop No 3, Umarkot Road Danteshwari Complex",Infront of Collector Office,494226.0,0.0,0.0,60.0,1,2026-01-13 19:41:43.108291+05:30,,,,0.0,Emp Code Missing | Branch '' not found,62
63,Korba,5000099,CG_KOR_207,abc@berarfinance.com,9876543210,0,100.0,,,Chhattisgarh,KORBA,KORBA,Shop No.A-8,"Plot No.5, Nidhi Biz, Near Patidar Bhawan,",495677.0,0.0,0.0,60.0,1,2026-01-13 19:41:43.320813+05:30,,,,0.0,Emp Code Missing | Branch '' not found,63
64,Mungeli,5000530,CG_MUN_223,abc@berarfinance.com,9876543210,0,100.0,,,Chhattisgarh,Bilaspur Cgh,Bilaspur Cgh,"Khasra No. 1056/01,","Near Yashoda Hospital Pt,",495334.0,0.0,0.0,60.0,1,2026-01-13 19:44:52.757767+05:30,,,,0.0,Emp Code Missing | Branch '' not found,64
65,Pendra,5000710,CG_PEN_227,abc@berarfinance.com,9876543210,0,100.0,,,Chhattisgarh,Bilaspur Cgh,Bilaspur Cgh,"SR NO 2542/8, HOUSE NO 134, WARD NO 15,","NEAR INDIAN PETROL PUMP, PO- PENDRA,",495119.0,0.0,0.0,60.0,1,2026-01-13 19:44:52.948689+05:30,,,,0.0,Emp Code Missing | Branch '' not found,65
66,Raigarh,5000405,CG_RAI_220,abc@berarfinance.com,9876543210,0,100.0,,,Chhattisgarh,Raigarh,Raigarh,"2nd Floor, Ashram complex,","Opposite Carmel school, RAIGARH",496001.0,0.0,0.0,60.0,1,2026-01-13 19:44:53.149274+05:30,,,,0.0,Emp Code Missing | Branch '' not found,66
67,Rajnandgaon,5000083,CG_RAJ_204,abc@berarfinance.com,9876543210,0,100.0,,,Chhattisgarh,Rajnandgaon,Rajnandgaon,New Bus Stand,Near Hotel Awana,491441.0,0.0,0.0,60.0,1,2026-01-13 19:44:53.333251+05:30,,,,0.0,Emp Code Missing | Branch '' not found,67
68,RAJIM,5000282,CG_RAJ_218,abc@berarfinance.com,9876543210,0,100.0,,,Chhattisgarh,Dhamtari,Dhamtari,"First Floor, Above Indian Overseas Bank","Near Forest Check Post, Raipur Road",493885.0,0.0,0.0,60.0,1,2026-01-13 19:44:53.528917+05:30,,,,0.0,Emp Code Missing | Branch '' not found,68
69,Surajpur,5000529,CG_SUR_222,abc@berarfinance.com,9876543210,0,100.0,,,Chhattisgarh,Surguja,Surguja,Khasra no. 146/07 Ward no. 04,"MG Road, Sahu para Chanderpur",497229.0,0.0,0.0,60.0,1,2026-01-13 19:44:53.729901+05:30,,,,0.0,Emp Code Missing | Branch '' not found,69
70,Amreli,5000113,GJ_AMR_305,abc@berarfinance.com,9876543210,0,100.0,,,Gujarat,Amreli,Amreli,Shop No 106,"1St Floor, Royal Paradise Complex",365601.0,0.0,0.0,60.0,1,2026-01-13 19:44:54.012194+05:30,,,,0.0,Emp Code Missing | Branch '' not found,70
71,Bardoli,5000106,GJ_BAR_302,abc@berarfinance.com,9876543210,0,100.0,,,Gujarat,Surat,Surat,"2Nd Floor,",Target Mall,394601.0,0.0,0.0,60.0,1,2026-01-13 19:44:54.211067+05:30,,,,0.0,Emp Code Missing | Branch '' not found,71
72,Botad,5000346,GJ_BOT_307,abc@berarfinance.com,9876543210,0,100.0,,,Gujarat,Botad,Botad,"Office No. 2, First Floor","Beside VIVO Service Centre, Padiyad Road",364710.0,0.0,0.0,60.0,1,2026-01-13 19:45:55.66681+05:30,,,,0.0,Emp Code Missing | Branch '' not found,72
73,Surat,5000140,GJ_BSUR_301,abc@berarfinance.com,9876543210,0,100.0,,,Gujarat,Surat,Surat,Wing,"4th Floor, Apex Commercial Complex",395006.0,0.0,0.0,60.0,1,2026-01-13 19:45:55.862897+05:30,,,,0.0,Emp Code Missing | Branch '' not found,73
74,Junagadh,5000115,GJ_JUN_306,abc@berarfinance.com,9876543210,0,100.0,,,Gujarat,Junagadh,Junagadh,Shop No. 304,"3Rd Floor, V-Arcade",362001.0,0.0,0.0,60.0,1,2026-01-13 19:45:56.072066+05:30,,,,0.0,Emp Code Missing | Branch '' not found,74
75,Navsari,5000110,GJ_NAV_304,abc@berarfinance.com,9876543210,0,100.0,,,Gujarat,NAVSARI,NAVSARI,Shop No 316,"3Rd Floor, Umadarshan  Arcade",396421.0,0.0,0.0,60.0,1,2026-01-13 19:45:56.256576+05:30,,,,0.0,Emp Code Missing | Branch '' not found,75
76,Rajpipla,5000465,GJ_RAJ_308,abc@berarfinance.com,9876543210,0,100.0,,,Gujarat,NARMADA,NARMADA,"Surya Plaza, First Floor, Office No 35","Tekra Falyu, Rajpipla",393145.0,0.0,0.0,60.0,1,2026-01-13 19:45:56.435842+05:30,,,,0.0,Emp Code Missing | Branch '' not found,76
77,Rajkot,5000711,GJ_RAJ_309,abc@berarfinance.com,9876543210,0,100.0,,,Gujarat,Rajkot,Rajkot,"OFFICE NO 202, 2ND FLOOR,","FOUR PLUS COMPLEX, ASTRON CHOWK,",360001.0,0.0,0.0,60.0,1,2026-01-13 19:45:56.633421+05:30,,,,0.0,Emp Code Missing | Branch '' not found,77
78,Vadodara,5000712,GJ_VAD_310,abc@berarfinance.com,9876543210,0,100.0,,,Gujarat,Vadodara,Vadodara,"7TH FLOOR- 708, SIGNET THE BUSINESS HUB,","NEAR EARTH COMPLEX, AKSHAR CHOWK, OLD PARA ROAD,",390020.0,0.0,0.0,60.0,1,2026-01-13 19:45:56.833919+05:30,,,,0.0,Emp Code Missing | Branch '' not found,78
79,Vyara,5000108,GJ_VYA_303,abc@berarfinance.com,9876543210,0,100.0,,,Gujarat,Surat,Surat,B-213,Ambaji Complex Ukai Road,394650.0,0.0,0.0,60.0,1,2026-01-13 19:45:57.040719+05:30,,,,0.0,Emp Code Missing | Branch '' not found,79
80,Ranchi,5000808,JH_BRAN_901,abc@berarfinance.com,9876543210,0,100.0,,,Jharkhand,Ranchi,Ranchi,"RUKMINI TOWER, NEAR UNION BANK","KUMHARTOLI, HARMU ROAD",834001.0,0.0,0.0,60.0,1,2026-01-13 19:45:57.236771+05:30,,,,0.0,Emp Code Missing | Branch '' not found,80
81,Chaibasa,5000906,JH_CHA_905,abc@berarfinance.com,9876543210,0,100.0,,,Jharkhand,WEST SINGHBHUM,WEST SINGHBHUM,"PLOT NO 116, NEAR GUPTA HONDA,","MAHULSAI MAIN ROAD, MUFFASIL, CHAIBASA,",833201.0,0.0,0.0,60.0,1,2026-01-13 19:48:30.222288+05:30,,,,0.0,Emp Code Missing | Branch '' not found,81
82,Hazaribagh,5000905,JH_HAZ_904,abc@berarfinance.com,9876543210,0,100.0,,,Jharkhand,HAZARIBAG,HAZARIBAG,"PLOT NO 789, HURHURU ROAD,","MADHUVAN COMPLEX, 5TH FLOOR",825301.0,0.0,0.0,60.0,1,2026-01-13 19:48:30.423548+05:30,,,,0.0,Emp Code Missing | Branch '' not found,82
83,Palamu,5000769,JH_PAL_903,abc@berarfinance.com,9876543210,0,100.0,,,Jharkhand,PALAMAU,PALAMAU,"A K T TOWER, GROUND FLOOR, WARD NO 25,","SOUTH REDMA ROAD, MEDININAGAR,",822101.0,0.0,0.0,60.0,1,2026-01-13 19:51:06.93431+05:30,,,,0.0,Emp Code Missing | Branch '' not found,83
84,Belgavi,5000124,KA_BEL_402,abc@berarfinance.com,9876543210,0,100.0,,,Karnataka,Belgaum,Belgaum,3935/26,"A1, Madiwale Arcade",590001.0,0.0,0.0,60.0,1,2026-01-13 20:00:18.511203+05:30,,,,0.0,Emp Code Missing | Branch '' not found,84
85,Gulbarga,5000146,KA_BGUL_401,abc@berarfinance.com,9876543210,0,100.0,,,Karnataka,Gulbarga,Gulbarga,Shop No S-2,"Kandur Mall, Second Floor, Sardar Vallabhai Patel Chowk",585102.0,0.0,0.0,60.0,1,2026-01-13 20:00:18.709566+05:30,,,,0.0,Emp Code Missing | Branch '' not found,85
86,Bidar,5000126,KA_BID_404,abc@berarfinance.com,9876543210,0,100.0,,,Karnataka,Bidar,Bidar,Plot No 23,"H-No- 9-10- 232/1, First Floor, Canara Bank",585401.0,0.0,0.0,60.0,1,2026-01-13 20:00:18.911661+05:30,,,,0.0,Emp Code Missing | Branch '' not found,86
87,Raichur,5000127,KA_RAI_405,abc@berarfinance.com,9876543210,0,100.0,,,Karnataka,Raichur,Raichur,"2nd Floor, Sai Ram Complex,",Opp  Ram Mandir,584101.0,0.0,0.0,60.0,1,2026-01-13 20:00:19.115078+05:30,,,,0.0,Emp Code Missing | Branch '' not found,87
88,Vijayapur,5000125,KA_VIJ_403,abc@berarfinance.com,9876543210,0,100.0,,,Karnataka,Bijapura,Bijapura,Plot No 215/A,"MG Road, Milaon Medical",586108.0,0.0,0.0,60.0,1,2026-01-13 20:00:19.325227+05:30,,,,0.0,Emp Code Missing | Branch '' not found,88
89,Yadgiri,5000525,KA_YAD_406,abc@berarfinance.com,9876543210,0,100.0,,,Karnataka,Yadgir,Yadgir,"1st floor, Vishwa Ganga Complex Building","No 5-1-273/17 G, Beside IIFL Ltd",585202.0,0.0,0.0,60.0,1,2026-01-13 20:00:19.534685+05:30,,,,0.0,Emp Code Missing | Branch '' not found,89
90,Ahmednagar,5000031,MH_AHM_120,abc@berarfinance.com,9876543210,0,100.0,,,Maharashtra,AHMED NAGAR,AHMED NAGAR,Office No.207,"Aadish Plaza,Nagar Manmad Road,Savedi,",414003.0,0.0,0.0,60.0,1,2026-01-13 20:00:19.861186+05:30,,,,0.0,Emp Code Missing | Branch '' not found,90
91,Alibagh,5000745,MH_ALI_144,abc@berarfinance.com,9876543210,0,100.0,,,Maharashtra,RAIGARH(MH),RAIGARH(MH),"GROUND FLOOR, SHOP NO 01, AARTI PRIYANKA SOCIETY,","TAMBOLI HOSPITAL ROAD, CHENDHARE, TQ- ALIBAG,",402201.0,0.0,0.0,60.0,1,2026-01-13 20:00:20.061609+05:30,,,,0.0,Emp Code Missing | Branch '' not found,91
92,Baramati,5000049,MH_BAR_127,abc@berarfinance.com,9876543210,0,100.0,,,Maharashtra,Pune,Pune,Block No - 11,Shrushthi Complex,413102.0,0.0,0.0,60.0,1,2026-01-13 20:00:20.26159+05:30,,,,0.0,Emp Code Missing | Branch '' not found,92
93,Dhule,5000143,MH_BDHU_129,abc@berarfinance.com,9876543210,0,100.0,,,Maharashtra,Dhule,Dhule,"H.No 2090,91","First Floor, Near Hanuman Mandir",424001.0,0.0,0.0,60.0,1,2026-01-13 20:00:20.510943+05:30,,,,0.0,Emp Code Missing | Branch '' not found,93
94,Bhusawal,5000076,MH_BHU_132,abc@berarfinance.com,9876543210,0,100.0,,,Maharashtra,Jalgaon,Jalgaon,Plot No.1,"Sahakar Nagar,Near Panchmukhi Hanuman Temple",425201.0,0.0,0.0,60.0,1,2026-01-13 20:00:20.731625+05:30,,,,0.0,Emp Code Missing | Branch '' not found,94
